date,atlfed_as_of,meeting_date,target_rate_pct,target_bps,kalshi_bid,kalshi_ask,kalshi_mid_pct,atlfed_prob_pct,spread_pp,kalshi_oi,kalshi_vol_24h
2026-05-28,2026-05-26,2026-09-16,4.75,475,2.0,4.0,3.0,,,318.0,20.0
2026-05-28,2026-05-26,2026-09-16,4.5,450,2.0,4.0,3.0,1.64016401640164,1.35983598359836,702.0,20.0
2026-05-28,2026-05-26,2026-09-16,4.25,425,5.0,6.0,5.5,6.380638063806381,-0.8806380638063809,1573.0,20.0
2026-05-28,2026-05-26,2026-09-16,4.0,400,10.0,16.0,13.0,11.75117511751175,1.2488248824882504,1792.03,0.0
2026-05-28,2026-05-26,2026-09-16,3.75,375,30.0,38.0,34.0,42.86428642864286,-8.864286428642863,1271.01,0.0
2026-05-28,2026-05-26,2026-09-16,3.5,350,79.0,90.0,84.5,94.07940794079407,-9.57940794079407,5276.93,14.0
2026-05-28,2026-05-26,2026-09-16,3.25,325,88.0,94.0,90.99999999999999,100.0,-9.000000000000014,1578.43,1.0
2026-05-28,2026-05-26,2026-09-16,3.0,300,90.0,97.0,93.5,100.0,-6.5,2356.0,0.0
2026-05-28,2026-05-26,2026-09-16,2.75,275,94.0,98.0,96.0,100.0,-4.0,2704.0,0.0
2026-05-28,2026-05-26,2026-06-17,5.25,525,0.0,1.0,0.5,,,766.0,1.0
2026-05-28,2026-05-26,2026-06-17,5.0,500,0.0,1.0,0.5,,,1962.0,0.0
2026-05-28,2026-05-26,2026-06-17,4.75,475,0.0,1.0,0.5,,,1674.03,0.0
2026-05-28,2026-05-26,2026-06-17,4.5,450,0.0,1.0,0.5,,,6145.95,0.0
2026-05-28,2026-05-26,2026-06-17,4.25,425,0.0,1.0,0.5,,,6400.73,0.0
2026-05-28,2026-05-26,2026-06-17,4.0,400,0.0,1.0,0.5,,,79798.78,0.0
2026-05-28,2026-05-26,2026-06-17,3.75,375,2.0,3.0,2.5,4.58,-2.08,851703.28,107998.4
2026-05-28,2026-05-26,2026-06-17,3.5,350,96.0,97.0,96.5,100.0,-3.5,45641.26,2981.26
2026-05-28,2026-05-26,2026-06-17,3.25,325,99.0,100.0,99.5,100.0,-0.5,75605.67,0.0
2026-05-28,2026-05-26,2026-06-17,3.0,300,99.0,100.0,99.5,100.0,-0.5,3344.94,0.0
2026-05-28,2026-05-26,2026-06-17,2.75,275,99.0,100.0,99.5,100.0,-0.5,47782.17,0.0
2026-05-28,2026-05-26,2026-07-29,5.25,525,0.0,2.0,1.0,,,910.0,0.0
2026-05-28,2026-05-26,2026-07-29,5.0,500,0.0,2.0,1.0,,,87.0,0.0
2026-05-28,2026-05-26,2026-07-29,4.75,475,0.0,2.0,1.0,,,202.0,0.0
2026-05-28,2026-05-26,2026-07-29,4.5,450,1.0,3.0,2.0,,,1908.0,0.0
2026-05-28,2026-05-26,2026-07-29,4.25,425,1.0,2.0,1.5,,,216.21,0.0
2026-05-28,2026-05-26,2026-07-29,4.0,400,2.0,5.0,3.5000000000000004,,,1324.0,0.0
2026-05-28,2026-05-26,2026-07-29,3.75,375,5.0,14.000000000000002,9.5,,,8831.75,115.0
2026-05-28,2026-05-26,2026-07-29,3.5,350,91.0,93.0,92.0,,,10849.51,8.0
2026-05-28,2026-05-26,2026-07-29,3.25,325,93.0,96.0,94.5,,,7422.31,1.0
2026-05-28,2026-05-26,2026-07-29,3.0,300,96.0,98.0,97.0,,,2937.0,0.0
2026-05-28,2026-05-26,2026-07-29,2.75,275,98.0,99.0,98.5,,,277.0,0.0
